id,dayId,exerciseId,sets,reps,targetWeight,rest,order,notes
"cmt63fqxs001hcnwqg8imkavc","cmt63fqxs001ccnwq47pq7oxr","cmt1wcld1000x9yldxuasbajt","3","10",,"60s","3",
"cmt63fqxs001icnwqsl6q608g","cmt63fqxs001ccnwq47pq7oxr","cmt1wclk600109ylda2zsqp9r","3","10",,"60s","4",
"cmt63fqxs001jcnwq5mfd12ga","cmt63fqxs001ccnwq47pq7oxr","cmt1wclrc00139yldadw7gupn","3","10",,"60s","5",
"cmt63fqxs001kcnwq1kk3slt3","cmt63fqxs001ccnwq47pq7oxr","cmt1wcloz00129yldv3q1q1xf","3","10",,"60s","6",
"cmt63fqxs001lcnwqfgyoaudo","cmt63fqxs001ccnwq47pq7oxr","cmt33a9mi002uypj14aewlfcc","3","10",,"60s","7",
"cmt63fqxt001ocnwqn472fmn9","cmt63fqxs001mcnwqranee5y2","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt63fqxt001pcnwqa9w0vidl","cmt63fqxs001mcnwqranee5y2","cmt1wcjhf00079yld2nduorws","3","10",,"60s","1",
"cmt63fqxt001qcnwqdfisx66e","cmt63fqxs001mcnwqranee5y2","cmt1wcj7t00039yldl0jfmsq1","3","10",,"60s","2",
"cmt63fqxt001rcnwqkhq2jbtf","cmt63fqxs001mcnwqranee5y2","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt63fqxt001scnwqffxnfmjv","cmt63fqxs001mcnwqranee5y2","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt63fqxt001tcnwq55fcyt3m","cmt63fqxs001mcnwqranee5y2","cmt1wcjm900099yldrez29er5","3","10",,"60s","5",
"cmt63fqxt001ucnwqsa8hirtb","cmt63fqxs001mcnwqranee5y2","cmt1wcjf000069yld70w99n67","3","10",,"60s","6",
"cmt63fqxt001xcnwqi7hle6j5","cmt63fqxt001vcnwq74u302o1","cmt1wck2g000e9yld4xr43xd3","3","10",,"60s","0",
"cmt63fqxt001ycnwqflutwt7y","cmt63fqxt001vcnwq74u302o1","cmt33as87009iypj1w4df4hbw","3","10",,"60s","1",
"cmt63fqxt001zcnwq2gijuns0","cmt63fqxt001vcnwq74u302o1","cmt1wck7k000g9ylds1f74e5f","3","10",,"60s","2",
"cmt63fqxt0020cnwquwmatncr","cmt63fqxt001vcnwq74u302o1","cmt1wckgy000k9yld3uhbxcmz","3","10",,"60s","3",
"cmt63fqxt0021cnwqcph29xry","cmt63fqxt001vcnwq74u302o1","cmt1wcku0000p9yldlixr5utq","3","10",,"60s","4",
"cmt63fqxt0022cnwq2gol8le4","cmt63fqxt001vcnwq74u302o1","cmt1wckrp000o9yldwght3fhg","3","10",,"60s","5",
"cmt63fqxt0023cnwqxvyia99s","cmt63fqxt001vcnwq74u302o1","cmt1wckwc000q9yldx9h39v95","3","10",,"60s","6",
"cmt63fqxt0026cnwqdfcu2iv4","cmt63fqxt0024cnwqbij58hlf","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt63fqxt0027cnwqoqpf6sf2","cmt63fqxt0024cnwqbij58hlf","cmt1wcjvc000c9yldxsamglp5","3","10",,"60s","1",
"cmt63fqxt0028cnwqnk2fjqtu","cmt63fqxt0024cnwqbij58hlf","cmt1wclaq000w9yldzyk12ehl","3","10",,"60s","2",
"cmt63fqxt0029cnwq0lfhj7hf","cmt63fqxt0024cnwqbij58hlf","cmt1wcld1000x9yldxuasbajt","3","10",,"60s","3",
"cmt63fqxt002acnwqfbr7hdyl","cmt63fqxt0024cnwqbij58hlf","cmt1wclk600109ylda2zsqp9r","3","10",,"60s","4",
"cmt63fqxt002bcnwqwb0lsi7i","cmt63fqxt0024cnwqbij58hlf","cmt1wclrc00139yldadw7gupn","3","10",,"60s","5",
"cmt63fqxt002ccnwq3ucjwmvj","cmt63fqxt0024cnwqbij58hlf","cmt1wcloz00129yldv3q1q1xf","3","10",,"60s","6",
"cmt63fqxt002dcnwq9jkgrrq4","cmt63fqxt0024cnwqbij58hlf","cmt33a9mi002uypj14aewlfcc","3","10",,"60s","7",
"cmt63fqxt002gcnwqf2w2zjy8","cmt63fqxt002ecnwqveatktjp","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt63fqxt002hcnwqzykr7jk8","cmt63fqxt002ecnwqveatktjp","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt63a946001xynoru0g9assk","cmt60ceeh0029unzx22dn2ijw","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt63a946001yynorsi6a5mpf","cmt60ceeh0029unzx22dn2ijw","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt63a946001zynorztfe97z8","cmt60ceeh0029unzx22dn2ijw","cmt1wcjm900099yldrez29er5","3","10",,"60s","5",
"cmt63a9460020ynora4pltg36","cmt60ceeh0029unzx22dn2ijw","cmt1wcjf000069yld70w99n67","3","10",,"60s","6",
"cmt63aagi0021ynorzqkfky92","cmt60ceeh002iunzxieoeyah3","cmt1wck2g000e9yld4xr43xd3","3","10",,"60s","0",
"cmt63aagi0022ynor9qsidpzu","cmt60ceeh002iunzxieoeyah3","cmt33as87009iypj1w4df4hbw","3","10",,"60s","1",
"cmt63aagi0023ynori4lkta32","cmt60ceeh002iunzxieoeyah3","cmt1wck7k000g9ylds1f74e5f","3","10",,"60s","2",
"cmt63aagi0024ynor54922ugx","cmt60ceeh002iunzxieoeyah3","cmt1wckgy000k9yld3uhbxcmz","3","10",,"60s","3",
"cmt63aagi0025ynorhgcz25ex","cmt60ceeh002iunzxieoeyah3","cmt1wcku0000p9yldlixr5utq","3","10",,"60s","4",
"cmt63aagi0026ynorqj3gdn7v","cmt60ceeh002iunzxieoeyah3","cmt1wckrp000o9yldwght3fhg","3","10",,"60s","5",
"cmt63aagj0027ynorklm7oqgx","cmt60ceeh002iunzxieoeyah3","cmt1wckwc000q9yldx9h39v95","3","10",,"60s","6",
"cmt63absn0028ynoruo7bndcf","cmt60ceeh002runzxwwj2b33u","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt63absn0029ynor8juv0w31","cmt60ceeh002runzxwwj2b33u","cmt1wcjvc000c9yldxsamglp5","3","10",,"60s","1",
"cmt63absn002aynormzju9ei2","cmt60ceeh002runzxwwj2b33u","cmt1wclaq000w9yldzyk12ehl","3","10",,"60s","2",
"cmt63absn002bynorl58t4e83","cmt60ceeh002runzxwwj2b33u","cmt1wcld1000x9yldxuasbajt","3","10",,"60s","3",
"cmt63absn002cynorrzi18xit","cmt60ceeh002runzxwwj2b33u","cmt1wclk600109ylda2zsqp9r","3","10",,"60s","4",
"cmt63absn002dynor2g9yyzdw","cmt60ceeh002runzxwwj2b33u","cmt1wclrc00139yldadw7gupn","3","10",,"60s","5",
